ss_id,llsoacd,orientation,tilt,kwp,operational_at
2667,E01011757,208.0,40.0,1.3799999952316284,2011-08-30
2668,E01011757,208.0,40.0,1.3799999952316284,2011-08-30
2669,E01025355,175.0,25.0,3.4200000762939453,2011-08-30
2670,E01006662,270.0,30.0,0.6600000262260437,2011-08-18
2671,E01006662,270.0,30.0,0.6600000262260437,2011-08-18
2672,E01006599,270.0,30.0,0.6600000262260437,2011-08-18
2673,E01026059,185.0,30.0,2.759999990463257,2011-08-12
2674,E01026059,185.0,30.0,2.759999990463257,2011-08-12
2675,E01015334,165.0,35.0,2.3499999046325684,2011-08-22
2676,E01015304,142.0,35.0,2.3499999046325684,2011-08-19
2677,E01006662,270.0,30.0,0.6600000262260437,2011-08-18
2678,E01012384,270.0,30.0,0.6600000262260437,2011-08-18
2679,E01028819,180.0,38.0,2.2799999713897705,2011-08-31
2680,E01028819,180.0,38.0,2.2799999713897705,2011-08-31
2681,E01028811,180.0,36.0,2.2799999713897705,2011-08-31
2682,E01015302,209.0,35.0,2.3499999046325684,2011-08-31
2683,E01015302,188.0,35.0,2.3499999046325684,2011-08-31
2684,E01015357,180.0,28.0,1.8799999952316284,2011-08-31
2685,E01015341,180.0,35.0,2.3499999046325684,2011-08-31
2686,E01015357,157.0,26.0,2.3499999046325684,2011-08-31
2687,E01032951,180.0,38.0,2.2799999713897705,2011-08-31
2688,E01028788,180.0,36.0,2.2799999713897705,2011-08-31
2689,E01020237,220.0,30.0,4.0,2011-08-31
2690,E01032100,170.0,30.0,2.5899999141693115,2011-08-31
2691,E01015304,225.0,35.0,2.3499999046325684,2011-08-31
2692,E01031410,170.0,25.0,2.5899999141693115,2011-08-31
2693,E01028771,180.0,38.0,2.2799999713897705,2011-08-31
2694,E01005736,200.0,25.0,3.4200000762939453,2011-08-31
2695,E01015357,157.0,26.0,2.3499999046325684,2011-08-31
2696,E01032359,60.0,40.0,1.8799999952316284,2011-08-25
2697,E01026100,195.0,30.0,1.6100000143051147,2011-09-01
2698,E01026100,195.0,30.0,1.3799999952316284,2011-09-01
2699,E01026100,195.0,30.0,1.840000033378601,2011-09-01
2700,E01028786,195.0,39.0,2.2799999713897705,2011-08-02
2701,E01026075,175.0,30.0,3.680000066757202,2011-08-03
2702,E01026075,175.0,34.0,1.6100000143051147,2011-08-05
2703,E01026075,175.0,34.0,1.6100000143051147,2011-08-05
2704,E01026075,175.0,28.0,2.5299999713897705,2011-08-05
2705,E01026332,180.0,35.0,3.2200000286102295,2011-09-02
2706,E01015341,188.0,35.0,2.3499999046325684,2011-09-05
2707,E01026242,200.0,30.0,2.759999990463257,2011-09-05
2708,E01026339,180.0,35.0,3.2200000286102295,2011-09-06
2709,E01005717,205.0,25.0,3.4200000762939453,2011-09-06
2710,E01032352,210.0,30.0,1.9600000381469727,2011-09-07
2711,E01021023,205.0,20.0,3.9600000381469727,2011-09-07
2712,E01013662,230.0,30.0,2.1600000858306885,2011-09-07
2713,E01022255,190.0,30.0,2.5199999809265137,2011-09-07
2714,E01032091,160.0,30.0,2.880000114440918,2011-09-07
2715,S00109165,195.0,30.0,3.9200000762939453,2011-09-07
2716,E01019610,180.0,35.0,3.430000066757202,2011-09-07
2717,S00094651,210.0,30.0,1.850000023841858,2011-09-07
2718,S00110771,160.0,30.0,3.9200000762939453,2012-05-02
2719,E01021540,210.0,40.0,1.4700000286102295,2011-09-08
2720,E01003280,170.0,37.0,3.9600000381469727,2011-09-08
2721,S00101581,180.0,30.0,2.5,2011-09-07
2722,E01032267,240.0,30.0,3.9200000762939453,2011-09-09
2723,E01019036,220.0,35.0,3.9200000762939453,2011-09-09
2724,S00101784,178.0,40.0,4.0,2011-09-09
2725,E01010685,164.0,30.0,3.4200000762939453,2011-09-12
2726,E01031964,165.0,30.0,2.6600000858306885,2011-09-12
2727,E01016302,135.0,45.0,3.9600000381469727,2011-09-12
2728,E01015471,190.0,45.0,3.4200000762939453,2011-09-12
2729,E01000258,180.0,45.0,2.0,2011-10-05
2730,E01019053,180.0,35.0,3.9200000762939453,2011-09-09
2731,E01032067,186.0,32.0,3.4200000762939453,2011-09-14
2732,E01031850,220.0,30.0,2.880000114440918,2011-09-14
2733,E01025603,225.0,30.0,3.9200000762939453,2011-09-14
2734,S00092799,175.0,32.0,3.059999942779541,2011-09-14
2735,E01022232,110.0,35.0,3.25,2011-09-14
2736,E01031287,220.0,30.0,2.3399999141693115,2011-09-15
2737,E01026519,130.0,35.0,1.75,2011-09-14
2738,E01026519,225.0,35.0,2.25,2011-09-14
2739,E01026519,130.0,35.0,3.0,2011-09-14
2740,E01026565,180.0,35.0,1.5,2011-09-14
2741,E01026519,180.0,35.0,1.5,2011-09-14
2742,E01026565,180.0,35.0,2.0,2011-09-14
2743,E01026565,180.0,35.0,1.5,2011-09-14
2744,E01026864,180.0,35.0,3.0,2011-09-14
2745,E01026813,145.0,35.0,4.0,2011-09-14
2746,E01000318,135.0,35.0,4.0,2011-09-14
2747,E01005970,200.0,25.0,3.4200000762939453,2011-09-27
2748,E01002112,220.0,35.0,3.0,2011-09-14
2749,E01006429,184.0,35.0,3.4200000762939453,2011-09-14
2750,E01015397,195.0,38.0,3.9200000762939453,2011-09-14
2751,E01031823,170.0,45.0,3.9200000762939453,2011-09-14
2752,E01032276,170.0,30.0,2.0,2011-09-15
2753,E01022627,180.0,20.0,3.9600000381469727,2011-09-15
2754,E01028609,190.0,30.0,4.0,2011-10-05
2755,E01018019,140.0,40.0,4.0,2011-09-15
2756,E01022005,165.0,47.0,4.0,2011-09-21
2757,E01018711,150.0,30.0,1.440000057220459,2011-12-28
2758,E01015471,190.0,40.0,2.6600000858306885,2011-09-15
2759,E01026811,120.0,35.0,3.25,2011-09-15
2760,S00126883,140.0,22.0,2.940000057220459,2011-09-16
2761,E01011822,160.0,31.0,1.440000057220459,2011-09-15
2762,E01016637,160.0,40.0,3.240000009536743,2011-09-15
2763,E01010108,170.0,40.0,3.9200000762939453,2011-09-15
2764,S00122330,180.0,30.0,2.0,2011-09-15
2765,E01018646,180.0,35.0,3.4200000762939453,2011-09-15
2766,S00122727,185.0,30.0,2.25,2011-09-16
2767,E01032102,178.0,30.0,3.3299999237060547,2011-09-15
2768,E01032376,170.0,40.0,3.7799999713897705,2011-09-15
2769,E01026565,180.0,35.0,2.0,2011-09-16
2770,E01032134,210.0,30.0,4.0,2011-11-10
2771,E01011776,175.0,18.0,2.4000000953674316,2016-11-17
2772,E01026102,185.0,30.0,3.680000066757202,2011-09-13
2773,E01026102,185.0,30.0,3.680000066757202,2011-09-14
2774,E01026102,185.0,30.0,3.680000066757202,2011-09-12
2775,E01015090,180.0,30.0,3.2200000286102295,2011-09-20
2776,E01027997,160.0,40.0,2.940000057220459,2011-09-22
2777,E01021063,270.0,49.0,3.9600000381469727,2011-09-22
2778,E01026256,180.0,30.0,1.4700000286102295,2011-09-21
2779,E01032087,200.0,35.0,2.6600000858306885,2011-09-20
2780,E01006986,164.0,25.0,3.4200000762939453,2011-09-20
2781,E01015309,162.0,30.0,2.3499999046325684,2011-09-01
2782,E01015309,162.0,30.0,2.3499999046325684,2011-09-20
2783,E01000768,180.0,35.0,2.1600000858306885,2011-09-23
2784,E01018124,280.0,27.0,3.9200000762939453,2011-09-28
2785,E01024118,124.0,37.0,3.990000009536743,2011-09-21
2786,E01003870,180.0,35.0,2.1600000858306885,2011-10-11
2787,E01026248,160.0,30.0,1.149999976158142,2011-09-22
2788,E01026248,160.0,30.0,1.149999976158142,2011-09-22
2789,S00110832,175.0,30.0,3.9200000762939453,2011-09-26
2790,E01026248,160.0,30.0,1.149999976158142,2011-09-22
2791,E01026248,160.0,30.0,1.149999976158142,2011-09-22
2792,E01026248,160.0,30.0,1.3799999952316284,2011-09-22
2793,E01018032,180.0,25.0,2.450000047683716,2011-09-26
2794,E01019551,180.0,32.0,3.8399999141693115,2011-08-18
2795,E01019634,155.0,31.0,3.8399999141693115,2011-08-22
2796,E01019636,160.0,41.0,3.0,2011-09-03
2797,E01028795,225.0,33.0,2.2799999713897705,2011-09-23
2798,E01017517,190.0,35.0,2.6600000858306885,2011-09-23
2799,E01005882,180.0,35.0,3.4200000762939453,2011-09-23
2800,E01032074,160.0,28.0,3.4200000762939453,2011-09-23
2801,E01015303,202.0,35.0,2.3499999046325684,2011-08-04
2802,E01015303,202.0,35.0,2.3499999046325684,2011-08-04
